month,Bishan,Bukit Merah,Bukit Timah,Downtown,Geylang,Kallang,Marine Parade,Museum,Newton,Novena,Orchard,Outram,Queenstown,River Valley,Rochor,Singapore River,Southern Islands,Tanglin,Toa Payoh,Bedok,Changi,Pasir Ris,Paya Lebar,Tampines,Ang Mo Kio,Hougang,Punggol,Seletar,Sengkang,Serangoon,Mandai,Sembawang,Sungei Kadut,Woodlands,Yishun,Bukit Batok,Bukit Panjang,Choa Chu Kang,Clementi,Jurong East,Jurong West,Pioneer
2005-01,433.5918823,320.0468226,963.3648581,424.6907037,401.1588177,366.7283301,534.9070474,758.8679245,1269.63235,588.5561317,1006.222354,312.1039285,360.362835,980.4970103,398.9609615,634.0961969,s,1252.961918,323.7392892,432.2000797,384.3953935,506.2124416,271.8782201,406.1673567,312.662145,419.6052553,350.5532353,679.6737589,357.5799617,494.6127066,599.2655367,390.2180069,647.6483517,375.2209437,343.0002445,370.0900988,359.1321245,398.2537265,368.5956305,354.986119,347.724311,243.3609468
2005-02,420.5094938,264.9116098,930.4999791,377.1578491,373.3260144,344.9979423,504.373017,683.5925926,1233.177479,615.8705174,1082.497619,287.5721386,327.8485265,938.9092056,358.0083228,657.2214254,s,1172.897804,327.2187312,447.1994209,414.5874263,451.9755612,253.1341177,398.2373505,326.073866,402.329217,312.4137647,682.6928571,349.6267712,502.3593539,608.4033771,338.3021519,784.1693989,368.9575465,346.4138789,391.0634674,394.3173444,355.4259397,349.1516983,363.8212991,360.3796508,363.7066667
2005-03,479.2444392,292.4161743,1035.239706,412.8937824,409.3459461,383.4478249,548.1959288,807.245283,1193.458898,721.5159899,1027.249115,312.5866004,345.2538769,1060.669677,361.8885482,697.4071588,s,1200.185935,345.6396204,485.2195384,387.2416503,495.7720084,290.5221445,432.9462913,373.1706789,425.3213088,357.3836676,799.9782609,399.6978736,547.9589144,589.8089888,374.5489495,670.8251366,387.9473719,430.0900375,388.2291813,427.7750989,376.8078645,406.6055246,351.89734,414.7603297,328.6853933
2005-04,513.5047511,358.7370321,1149.475779,478.1374244,451.2784581,424.8823474,631.0167646,905.5740741,1510.065026,691.9333415,1300.07929,357.4130656,414.7478701,1099.095092,485.2741877,721.7054264,s,1515.576881,382.100921,521.3579238,540.4726563,628.5541814,280.8100687,517.9062817,385.3773242,515.8624819,407.616094,702.6737589,386.2222337,611.16441,715,454.8303027,852.3516484,442.1355335,381.5537348,449.2248748,413.480341,487.6213622,396.3112513,454.2139546,397.9255195,416.6760563
2005-05,516.3285653,354.1949865,1132.344437,508.1630529,473.3571334,448.8383177,615.8601523,914.1111111,1392.285164,797.0552835,1204.095972,352.2392665,411.442005,1327.29637,440.6165617,949.0860319,s,1428.282684,373.2462405,523.312753,448.5,551.5474347,322.4172336,475.5737394,386.289619,486.7646,428.5044,868.5785714,471.5752699,581.3240845,681.2105263,422.9237632,730.1933702,425.3002556,431.5855845,422.8294074,450.3258765,442.6367404,453.286887,409.739293,440.7600067,377.4044944
2005-06,545.0170597,349.9830335,1173.719038,487.1620451,486.4498646,448.9350213,680.4310548,791.5272727,1561.656506,748.7132483,1360.700713,367.5368805,427.3015793,1163.531666,473.7712442,801.882896,s,1523.373965,412.1957251,560.7557665,543.7945736,624.4702734,290.8454546,531.2770687,404.0809961,522.7457035,433.3503883,692.7857143,415.8563818,645.772606,765.7401869,435.1759054,850.0276243,468.9611638,412.5648639,484.6641535,457.6256118,484.7980518,425.3529187,459.0888455,437.7581405,301.4298246
2005-07,522.5567397,358.4361503,1101.206588,496.1744387,475.0092551,441.5872229,618.0739057,829.9454546,1414.446404,736.3901534,1273.16409,364.7346909,416.4622991,1195.107252,456.7825775,860.6735876,s,1389.621484,388.4320004,527.2109984,455.4291262,573.6171361,309.7840909,479.7594776,373.2701672,493.4631083,430.4210311,699.5661765,463.329559,594.8251728,683.5335821,426.6811977,747.4143646,437.8192173,412.7714659,440.9301967,459.8937487,449.1502994,444.4338246,435.0859467,438.0054877,282.9702381
2005-08,507.6513565,337.8334689,1051.242302,492.7764298,466.3664601,425.0080422,638.4368159,795.2727273,1344.919937,756.7689983,1231.580569,367.3289071,400.7135982,1128.061583,460.1803922,811.0193611,s,1264.773627,393.7174648,526.7153952,450.6319846,567.7455376,288.4475525,475.0201086,400.0450209,499.8795191,421.4643562,782.2537313,426.172769,606.9242337,613.8944444,432.5706044,790.7513812,423.714788,409.316555,438.284704,445.5982593,443.580998,413.4214039,420.7009061,423.570266,255.0107527
2005-09,505.7988792,343.1868715,1038.987996,462.1238258,450.9300716,422.0876257,602.4730862,777.6792453,1293.401566,703.9734438,1216.964747,368.5391558,389.3937892,1110.817841,438.8795718,770.0637373,s,1291.770845,368.9198625,511.3561018,453.8677043,553.5117767,303.4818182,472.2609885,370.680933,481.3724088,407.4687224,730.9927536,407.6877676,578.3978896,683.6598131,435.9756924,773.4086022,416.1149348,414.2967983,424.4412988,432.9839609,434.6991001,415.4228072,404.5675082,420.115314,340.2620321
2005-10,507.981997,344.897721,1109.43249,494.6669528,459.7515699,418.1786135,638.8322183,842.0740741,1445.135056,697.9609936,1153.427401,345.6958358,406.2385168,1108.571403,451.7804271,797.3062016,s,1467.80562,370.4825784,511.134315,476.6692308,551.8155471,262.1319911,477.1760536,371.098711,483.7574597,396.6166304,731.5681818,400.1633685,586.9812068,663.2504673,412.7204428,737.2978723,420.0655504,384.0925373,433.4200974,423.08414,448.3014408,403.8723272,411.4078626,398.8508622,312.8235294
2005-11,482.8590481,339.1489551,1079.660949,475.5179795,462.4437558,427.2519974,595.4801693,934.0363636,1357.637713,768.362509,1222.746776,356.3089336,398.7932936,1239.925102,458.4877049,856.2357803,s,1353.884734,380.1274029,500.6146427,437.0366795,543.7417739,309.0159817,454.1466726,361.1674697,466.306919,402.8167347,813.2857143,436.0774765,568.9019355,655.2322097,415.7176433,758.2673797,420.6753234,409.5608877,418.518302,440.0231858,444.3197262,441.1379691,397.649185,417.0428113,358.9946809
2005-12,457.1813731,311.734561,996.151593,452.8374259,420.0428266,392.4588897,573.0383916,834.5535714,1217.315355,674.2690062,1064.283529,320.5870523,364.8498166,1078.604515,404.3304317,741.4280872,s,1231.585387,349.6345729,458.3638801,419.3771429,508.5373564,296.2677346,427.7626447,349.4234025,439.6922601,378.9224191,758.4846154,378.1499723,535.9039938,615.548803,375.1399058,809.1861702,392.931186,364.3221928,391.7178549,394.2857185,409.2742976,384.4889371,384.3891057,383.3187554,311.8359788
